task,n_human,human_internal_sim,cpo_centroid_sim,cpo_mean_sim,n_cpo,llama_base_centroid_sim,llama_base_mean_sim,n_llama_base,gemini_centroid_sim,gemini_mean_sim,n_gemini
AUT,1191,0.8879054937681481,0.9848817750316228,0.8719892925609023,912,0.9693893550999192,0.8721799366053964,980,0.9717391974735623,0.8721390689471327,919
Design,1158,0.8770965639259792,0.9851292577295427,0.8769037797089094,911,0.968812037762772,0.876881525410374,980,0.9766698845518961,0.8817087692275453,913
Story,1148,0.8722692401457544,0.987453751016915,0.8727058690270864,949,0.9763790242401817,0.872151662607216,980,0.9756463353538788,0.8733116924028206,923
SCTT-Hypothesis,471,0.886773958693913,0.9858594488142353,0.8826900133322748,456,0.9686026316263594,0.8860760507382637,490,0.9728538499589853,0.8904854473076126,458
SCTT-ResearchQuestion,714,0.888591330254129,0.9872561620135216,0.8873893612089423,451,0.9618158297541727,0.8836318103504125,490,0.9643071147011275,0.8772315617857865,458
