task,human_n,human_mean,human_median,cpo_n,cpo_mean,cpo_median,llama_base_n,llama_base_mean,llama_base_median,gemini_n,gemini_mean,gemini_median
AUT,1191,5.812762384550798,4.0,912,11.978070175438596,11.0,980,14.271428571428572,13.0,919,17.204570184983677,17.0
Design,1158,9.6286701208981,7.0,911,14.08781558726674,13.0,980,17.941836734693876,19.0,913,17.457831325301203,17.0
Story,1148,61.44686411149826,59.0,949,110.03477344573236,89.0,980,60.453061224489794,60.0,923,37.53954496208017,38.0
SCTT-Hypothesis,471,11.681528662420382,10.0,456,17.375,16.0,490,25.946938775510205,26.0,458,21.406113537117903,21.0
SCTT-ResearchQuestion,714,9.175070028011204,7.0,451,13.773835920177383,13.0,490,22.183673469387756,22.0,458,19.820960698689955,20.0
