task_metric,AUT_originality,Design_effectiveness,Design_originality,SCTT_originality,Story_DSI,Story_MAoSS
AUT_originality,1.0,0.5175474264576512,0.5470383393570349,0.47485745328851686,0.5332410845561831,0.3459552121621677
Design_effectiveness,0.5175474264576512,1.0,0.7159238875018051,0.6824508054752121,0.7100994009491741,0.5321434474553589
Design_originality,0.5470383393570349,0.7159238875018051,1.0,0.6418593753541735,0.6799246715135345,0.5061495606356398
SCTT_originality,0.47485745328851686,0.6824508054752121,0.6418593753541735,1.0,0.6934447638488554,0.5295400917408084
Story_DSI,0.5332410845561831,0.7100994009491741,0.6799246715135345,0.6934447638488554,1.0,0.808243059011033
Story_MAoSS,0.3459552121621677,0.5321434474553589,0.5061495606356398,0.5295400917408084,0.808243059011033,1.0
