task_metric,AUT_originality,Design_effectiveness,Design_originality,SCTT_originality,Story_DSI,Story_MAoSS
AUT_originality,1.0,0.42747201558856,0.46718109341309455,0.42784357991398625,0.5000578467304807,0.4043586791528212
Design_effectiveness,0.42747201558856,1.0,0.8420909075285541,0.7171289579554218,0.7692180838528415,0.5161216836149806
Design_originality,0.46718109341309455,0.8420909075285541,1.0,0.6531765402991956,0.7766591899934714,0.5581517492189684
SCTT_originality,0.42784357991398625,0.7171289579554218,0.6531765402991956,1.0,0.742147276697213,0.4936907477622921
Story_DSI,0.5000578467304807,0.7692180838528415,0.7766591899934714,0.742147276697213,1.0,0.6842521249756697
Story_MAoSS,0.4043586791528212,0.5161216836149806,0.5581517492189684,0.4936907477622921,0.6842521249756697,1.0
