task,human_ttr,human_unique,human_total,cpo_ttr,cpo_unique,cpo_total,llama_base_ttr,llama_base_unique,llama_base_total,gemini_ttr,gemini_unique,gemini_total
AUT,0.2540806008955655,1759,6923,0.1618434183071759,1784,11023,0.07217372791143283,1017,14091,0.07794289942652771,1264,16217
Design,0.21417040358744394,2388,11150,0.13426637957551524,1746,13004,0.057361480436316274,1057,18427,0.08486034513431774,1431,16863
Story,0.08053304874110064,5735,71213,0.05322657064341893,5617,105530,0.04008789144400275,2390,59619,0.05573394495412844,1944,34880
SCTT-Hypothesis,0.19320247182842604,1063,5502,0.12129480342304354,978,8063,0.05368086261732992,692,12891,0.049434187016081,498,10074
SCTT-ResearchQuestion,0.17676690581590596,1158,6551,0.14136457179040685,893,6317,0.06573476068300452,743,11303,0.09020698177324683,876,9711
