task_metric,AUT_originality,Design_effectiveness,Design_originality,SCTT_originality,Story_DSI,Story_MAoSS
AUT_originality,1.0,0.6064499045377583,0.6417746832995439,0.5606929343487387,0.572424700180492,0.42922738034266694
Design_effectiveness,0.6064499045377583,1.0,0.8787791768292437,0.7246632100493202,0.6667462493511607,0.5354344864324528
Design_originality,0.6417746832995439,0.8787791768292437,1.0,0.7435133995479094,0.6981544855882259,0.5722837622969711
SCTT_originality,0.5606929343487387,0.7246632100493202,0.7435133995479094,1.0,0.7229608931813056,0.582084762824039
Story_DSI,0.572424700180492,0.6667462493511607,0.6981544855882259,0.7229608931813056,1.0,0.8095142569974755
Story_MAoSS,0.42922738034266694,0.5354344864324528,0.5722837622969711,0.582084762824039,0.8095142569974755,1.0
