task_metric,AUT_originality,Design_effectiveness,Design_originality,SCTT_originality,Story_DSI,Story_MAoSS
AUT_originality,1.0,0.24596761553164373,0.3632237855628567,0.3501316873913704,0.24619135479507395,0.31882472502252596
Design_effectiveness,0.24596761553164373,1.0,0.49620029733453236,0.36148087483945907,0.20235649627821625,0.22639501053075228
Design_originality,0.3632237855628567,0.49620029733453236,1.0,0.46644393555450964,0.22628481324602204,0.2596290416953456
SCTT_originality,0.3501316873913704,0.36148087483945907,0.46644393555450964,1.0,0.2779781761627397,0.31332342316754636
Story_DSI,0.24619135479507395,0.20235649627821625,0.22628481324602204,0.2779781761627397,1.0,0.610661136610621
Story_MAoSS,0.31882472502252596,0.22639501053075228,0.2596290416953456,0.31332342316754636,0.610661136610621,1.0
